2025-12-25 01:03:03 | INFO | Pipeline start | flows=3 years=1948..2025 chunk=5 workers=6 http_limit=6 s3_limit=6 gzip=True skip_exists=True
2025-12-25 01:03:03 | INFO | Fetching | flow=IMTS year=1948 years_chunk=[1948, 1949, 1950, 1951, 1952]
2025-12-25 01:03:04 | INFO | Fetching | flow=BOP year=1958 years_chunk=[1958, 1959, 1960, 1961, 1962]
2025-12-25 01:03:04 | INFO | Fetching | flow=CPI year=1988 years_chunk=[1988, 1989, 1990, 1991, 1992]
2025-12-25 01:03:04 | INFO | Fetching | flow=BOP year=2023 years_chunk=[2023, 2024, 2025]
2025-12-25 01:03:04 | INFO | Fetching | flow=BOP year=2018 years_chunk=[2018, 2019, 2020, 2021, 2022]
2025-12-25 01:03:04 | INFO | Fetching | flow=BOP year=2013 years_chunk=[2013, 2014, 2015, 2016, 2017]
2025-12-25 01:03:05 | SUCCESS | Done | flow=BOP year=1958 rows=944 uri=s3://personal-projectbucket/imf/BOP/year=1958/BOP_1958.csv.gz step_s=2.13
2025-12-25 01:03:05 | INFO | Fetching | flow=BOP year=1959 years_chunk=[1958, 1959, 1960, 1961, 1962]
2025-12-25 01:03:06 | SUCCESS | Done | flow=BOP year=1959 rows=944 uri=s3://personal-projectbucket/imf/BOP/year=1959/BOP_1959.csv.gz step_s=1.21
2025-12-25 01:03:06 | INFO | Fetching | flow=BOP year=1960 years_chunk=[1958, 1959, 1960, 1961, 1962]
2025-12-25 01:03:08 | SUCCESS | Done | flow=BOP year=1960 rows=1894 uri=s3://personal-projectbucket/imf/BOP/year=1960/BOP_1960.csv.gz step_s=1.33
2025-12-25 01:03:08 | INFO | Fetching | flow=BOP year=1961 years_chunk=[1958, 1959, 1960, 1961, 1962]
2025-12-25 01:03:08 | SUCCESS | Done | flow=CPI year=1988 rows=29455 uri=s3://personal-projectbucket/imf/CPI/year=1988/CPI_1988.csv.gz step_s=4.92
2025-12-25 01:03:08 | INFO | Fetching | flow=CPI year=1989 years_chunk=[1988, 1989, 1990, 1991, 1992]
2025-12-25 01:03:09 | SUCCESS | Done | flow=BOP year=1961 rows=2574 uri=s3://personal-projectbucket/imf/BOP/year=1961/BOP_1961.csv.gz step_s=1.38
2025-12-25 01:03:09 | INFO | Fetching | flow=BOP year=1962 years_chunk=[1958, 1959, 1960, 1961, 1962]
2025-12-25 01:03:10 | SUCCESS | Done | flow=CPI year=1989 rows=29970 uri=s3://personal-projectbucket/imf/CPI/year=1989/CPI_1989.csv.gz step_s=1.84
2025-12-25 01:03:10 | INFO | Fetching | flow=CPI year=1990 years_chunk=[1988, 1989, 1990, 1991, 1992]
2025-12-25 01:03:10 | SUCCESS | Done | flow=BOP year=1962 rows=2410 uri=s3://personal-projectbucket/imf/BOP/year=1962/BOP_1962.csv.gz step_s=1.43
2025-12-25 01:03:10 | INFO | Fetching | flow=CPI year=1963 years_chunk=[1963, 1964, 1965, 1966, 1967]
2025-12-25 01:03:12 | SUCCESS | Done | flow=CPI year=1990 rows=30568 uri=s3://personal-projectbucket/imf/CPI/year=1990/CPI_1990.csv.gz step_s=2.05
2025-12-25 01:03:12 | INFO | Fetching | flow=CPI year=1991 years_chunk=[1988, 1989, 1990, 1991, 1992]
2025-12-25 01:03:12 | SUCCESS | Done | flow=CPI year=1963 rows=20228 uri=s3://personal-projectbucket/imf/CPI/year=1963/CPI_1963.csv.gz step_s=1.72
2025-12-25 01:03:12 | INFO | Fetching | flow=CPI year=1964 years_chunk=[1963, 1964, 1965, 1966, 1967]
2025-12-25 01:03:13 | SUCCESS | Done | flow=CPI year=1964 rows=20396 uri=s3://personal-projectbucket/imf/CPI/year=1964/CPI_1964.csv.gz step_s=1.23
2025-12-25 01:03:13 | INFO | Fetching | flow=CPI year=1965 years_chunk=[1963, 1964, 1965, 1966, 1967]
2025-12-25 01:03:13 | SUCCESS | Done | flow=CPI year=1991 rows=32394 uri=s3://personal-projectbucket/imf/CPI/year=1991/CPI_1991.csv.gz step_s=1.67
2025-12-25 01:03:13 | INFO | Fetching | flow=CPI year=1992 years_chunk=[1988, 1989, 1990, 1991, 1992]
2025-12-25 01:03:15 | SUCCESS | Done | flow=CPI year=1965 rows=20566 uri=s3://personal-projectbucket/imf/CPI/year=1965/CPI_1965.csv.gz step_s=1.36
2025-12-25 01:03:15 | INFO | Fetching | flow=CPI year=1966 years_chunk=[1963, 1964, 1965, 1966, 1967]
2025-12-25 01:03:15 | SUCCESS | Done | flow=CPI year=1992 rows=33840 uri=s3://personal-projectbucket/imf/CPI/year=1992/CPI_1992.csv.gz step_s=1.80
2025-12-25 01:03:16 | SUCCESS | Done | flow=CPI year=1966 rows=20724 uri=s3://personal-projectbucket/imf/CPI/year=1966/CPI_1966.csv.gz step_s=1.28
2025-12-25 01:03:16 | INFO | Fetching | flow=CPI year=1967 years_chunk=[1963, 1964, 1965, 1966, 1967]
2025-12-25 01:03:17 | SUCCESS | Done | flow=CPI year=1967 rows=21101 uri=s3://personal-projectbucket/imf/CPI/year=1967/CPI_1967.csv.gz step_s=1.24
2025-12-25 01:04:14 | SUCCESS | Done | flow=IMTS year=1948 rows=19415 uri=s3://personal-projectbucket/imf/IMTS/year=1948/IMTS_1948.csv.gz step_s=70.66
2025-12-25 01:04:14 | INFO | Fetching | flow=IMTS year=1949 years_chunk=[1948, 1949, 1950, 1951, 1952]
2025-12-25 01:04:25 | SUCCESS | Done | flow=IMTS year=1949 rows=17491 uri=s3://personal-projectbucket/imf/IMTS/year=1949/IMTS_1949.csv.gz step_s=11.02
2025-12-25 01:04:25 | INFO | Fetching | flow=IMTS year=1950 years_chunk=[1948, 1949, 1950, 1951, 1952]
2025-12-25 01:04:31 | SUCCESS | Done | flow=IMTS year=1950 rows=18358 uri=s3://personal-projectbucket/imf/IMTS/year=1950/IMTS_1950.csv.gz step_s=5.85
2025-12-25 01:04:31 | INFO | Fetching | flow=IMTS year=1951 years_chunk=[1948, 1949, 1950, 1951, 1952]
2025-12-25 01:04:32 | SUCCESS | Done | flow=BOP year=2013 rows=395704 uri=s3://personal-projectbucket/imf/BOP/year=2013/BOP_2013.csv.gz step_s=88.83
2025-12-25 01:04:32 | INFO | Fetching | flow=BOP year=2014 years_chunk=[2013, 2014, 2015, 2016, 2017]
2025-12-25 01:04:32 | SUCCESS | Done | flow=BOP year=2023 rows=475674 uri=s3://personal-projectbucket/imf/BOP/year=2023/BOP_2023.csv.gz step_s=89.10
2025-12-25 01:04:32 | INFO | Fetching | flow=BOP year=2024 years_chunk=[2023, 2024, 2025]
2025-12-25 01:04:32 | SUCCESS | Done | flow=BOP year=2018 rows=493231 uri=s3://personal-projectbucket/imf/BOP/year=2018/BOP_2018.csv.gz step_s=89.42
2025-12-25 01:04:32 | INFO | Fetching | flow=BOP year=2019 years_chunk=[2018, 2019, 2020, 2021, 2022]
2025-12-25 01:04:37 | SUCCESS | Done | flow=IMTS year=1951 rows=19171 uri=s3://personal-projectbucket/imf/IMTS/year=1951/IMTS_1951.csv.gz step_s=6.60
2025-12-25 01:04:37 | INFO | Fetching | flow=IMTS year=1952 years_chunk=[1948, 1949, 1950, 1951, 1952]
2025-12-25 01:04:43 | SUCCESS | Done | flow=IMTS year=1952 rows=20775 uri=s3://personal-projectbucket/imf/IMTS/year=1952/IMTS_1952.csv.gz step_s=5.78
2025-12-25 01:05:38 | SUCCESS | Done | flow=BOP year=2024 rows=447934 uri=s3://personal-projectbucket/imf/BOP/year=2024/BOP_2024.csv.gz step_s=66.08
2025-12-25 01:05:38 | INFO | Fetching | flow=BOP year=2025 years_chunk=[2023, 2024, 2025]
2025-12-25 01:05:50 | SUCCESS | Done | flow=BOP year=2014 rows=431639 uri=s3://personal-projectbucket/imf/BOP/year=2014/BOP_2014.csv.gz step_s=77.96
2025-12-25 01:05:50 | INFO | Fetching | flow=BOP year=2015 years_chunk=[2013, 2014, 2015, 2016, 2017]
2025-12-25 01:05:55 | SUCCESS | Done | flow=BOP year=2019 rows=496795 uri=s3://personal-projectbucket/imf/BOP/year=2019/BOP_2019.csv.gz step_s=83.17
2025-12-25 01:05:55 | INFO | Fetching | flow=BOP year=2020 years_chunk=[2018, 2019, 2020, 2021, 2022]
2025-12-25 01:06:00 | SUCCESS | Done | flow=BOP year=2025 rows=168195 uri=s3://personal-projectbucket/imf/BOP/year=2025/BOP_2025.csv.gz step_s=21.64
2025-12-25 01:07:05 | SUCCESS | Done | flow=BOP year=2015 rows=445155 uri=s3://personal-projectbucket/imf/BOP/year=2015/BOP_2015.csv.gz step_s=75.23
2025-12-25 01:07:05 | INFO | Fetching | flow=BOP year=2016 years_chunk=[2013, 2014, 2015, 2016, 2017]
2025-12-25 01:07:17 | SUCCESS | Done | flow=BOP year=2020 rows=498069 uri=s3://personal-projectbucket/imf/BOP/year=2020/BOP_2020.csv.gz step_s=81.67
2025-12-25 01:07:17 | INFO | Fetching | flow=BOP year=2021 years_chunk=[2018, 2019, 2020, 2021, 2022]
2025-12-25 01:08:25 | SUCCESS | Done | flow=BOP year=2016 rows=460275 uri=s3://personal-projectbucket/imf/BOP/year=2016/BOP_2016.csv.gz step_s=80.09
2025-12-25 01:08:25 | INFO | Fetching | flow=BOP year=2017 years_chunk=[2013, 2014, 2015, 2016, 2017]
2025-12-25 01:08:37 | SUCCESS | Done | flow=BOP year=2021 rows=494078 uri=s3://personal-projectbucket/imf/BOP/year=2021/BOP_2021.csv.gz step_s=80.23
